Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
130,Washington and Jefferson,PAC,2,16.535214128377294,-29.999798527617127,1,0,0,0,1,-0.9221746576039223,-0.604882762766371,-0.18731340985504796,0,1,0,1,0,0,-0.15488927314801232
131,Pacific Lutheran,NWC,6,9.315781333356194,-21.348909899281303,1,0,0,1,0,-0.9661385829678661,-0.7495265028585129,-0.3153130881280466,0,1,0,1,0,0,-0.16192097572173317
132,Millikin,CCIW,5,-15.104833876281013,-22.503038064084727,0.9996180845475786,0,0,1,0,2.9570302320869324e-5,0.002102444134746251,0.043769810024746336,1,0,1,0,0,0,-0.16420134412621143
133,St. Lawrence,LL,2,-4.605361609269764,-33.00924185658367,0.9991599147457126,0,0,0,1,7.464349943231419e-5,0.004164835052870464,0.06883018158677356,1,0,1,0,0,0,-0.18232356011237263
134,Rhodes,SAA,3,-3.825983040285092,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.18456484255351405
135,King's,MAC,1,4.800823196462154,-20.20221382371583,1,0,0,1,0,-0.9602282078988336,-0.7255783475355903,-0.28966903722043236,0,1,0,1,0,0,-0.19361413880978703
136,Carthage,CCIW,5,-4.117429914579377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.19862419564014724
137,Misericordia,MAC,1,-9.214665324311897,-15.04263827645509,1,0,0,1,0,-0.8349420591564558,-0.4285897623391901,-0.09113276857512687,0,1,0,1,0,0,-0.19976758988739157
138,Curry,CNE,1,-5.282497683109829,-36.54815537977482,0.9973771745892217,0,0,0,1,2.885200098134977e-4,0.011058959982976013,0.1282944153980321,1,0,1,0,0,0,-0.20424135269074736
139,Catholic,LAND,2,-6.7183681719279775,-37.49699746526169,0.9952836666017857,0,0,0,1,5.839706182094728e-4,0.018185753428411777,0.17389014208771192,1,0,1,0,0,0,-0.2179656535233119
140,Simpson,ARC,5,-4.664879971589482,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.22503310349836222
141,Pacific,NWC,6,4.795232893324923,-25.3473222400498,1,0,0,1,0,-0.9610195795424812,-0.7286702101671408,-0.29285955634779837,0,1,0,1,0,0,-0.22709565876576807
